index,name,name2,pos,team,sum,g,a,_pim,ppp,gwg,_shots,_hits,blocks,goals,assists,pim,powerPlayPoints,gameWinningGoals,shots,hits,blocked,timeOnIce,games,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,w,gaa,sp,wins,goalAgainstAverage,savePercentage,ot,shutouts,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8479407,Jesper Bratt,"Bratt, Jesper",LW,NJD,10.78901814693003,1.9543776690657853,2.328204531879088,-0.3162206287362297,2.7180263005821117,3.150630189063022,1.644363273177914,-0.5716097334747436,-0.11875345462691994,26.0,47.0,16.0,18.0,6.0,197.0,26.0,30.0,1324:41,76,3.0,206:47,1114:23,16,0.0,13.2,0.0,0.0,0.0,03:31,0.0,73.0,1749.0,17:25,14:39,00:02,02:43,,,,,,,,,,,,,,,,,,,,,,,
8476923,Damon Severson,"Severson, Damon",D,NJD,8.298715861456603,0.2513929781785864,1.453174640703055,1.564718655145593,2.341270179709344,-0.6301260378126045,1.063436487571223,0.6698338404202843,1.5850151175411222,11.0,35.0,57.0,16.0,0.0,158.0,91.0,92.0,1888:23,80,5.0,186:35,1497:42,57,0.0,7.0,0.0,0.0,1.0,204:06,-14.0,46.0,2121.0,23:36,18:43,02:33,02:19,,,,,,,,,,,,,,,,,,,,,,,
8476292,Ondrej Palat,"Palat, Ondrej",LW,NJD,7.404013053343183,1.0461191672592791,1.1614980103110437,-0.13271435713800311,0.45748957534550394,2.520504151250418,0.8400031084917263,1.300105193320837,0.21100820450237856,18.0,31.0,20.0,6.0,5.0,143.0,124.0,42.0,1270:15,77,1.0,161:54,1084:08,20,11.11,12.6,2.0,0.0,1.0,24:13,15.0,49.0,1624.0,16:29,14:04,00:18,02:06,,,,,,,,,,,,,,,,,,,,,,,
8475287,Erik Haula,"Haula, Erik",LW,NJD,6.54190011489836,1.0461191672592791,0.79690222232103,1.1059529761500262,0.08073345447273596,1.260252075625209,0.8102119912811269,1.3956008528512236,0.04612737493772931,18.0,26.0,47.0,4.0,3.0,141.0,129.0,36.0,1177:17,78,2.0,74:25,1044:33,47,53.84,12.8,0.0,0.0,0.0,58:19,19.0,44.0,1522.0,15:05,13:23,00:44,00:57,,,,,,,,,,,,,,,,,,,,,,,
8480002,Nico Hischier,"Hischier, Nico",C,NJD,6.330724452354389,1.386716105436719,1.7448512710950659,-0.27034406083667306,1.587757937963808,0.6301260378126045,0.9889586945447241,-0.1132305677288872,0.3758890340670278,21.0,39.0,17.0,12.0,2.0,153.0,50.0,48.0,1354:05,70,4.0,197:33,1036:53,17,52.06,13.7,1.0,0.0,2.0,119:39,-1.0,60.0,1830.0,19:20,14:48,01:42,02:49,,,,,,,,,,,,,,,,,,,,,,,
8476462,Dougie Hamilton,"Hamilton, Dougie",D,NJD,5.623253780247049,0.024328352726959896,0.43230643433101634,0.5095575934557899,0.834245696218272,0.0,1.644363273177914,0.5934373127959748,1.5850151175411222,9.0,21.0,34.0,8.0,1.0,197.0,87.0,92.0,1315:52,62,2.0,154:33,1130:57,34,0.0,4.6,1.0,0.0,0.0,30:22,-19.0,30.0,1536.0,21:13,18:14,00:29,02:29,,,,,,,,,,,,,,,,,,,,,,,
8479414,Nathan Bastian,"Bastian, Nathan",RW,NJD,4.969394891952412,0.3649252909043996,-0.6614809296390249,1.931731198342046,0.08073345447273596,0.0,0.15480741264793685,2.942630537243489,0.1560479279808288,12.0,6.0,65.0,4.0,1.0,97.0,210.0,40.0,857:10,72,3.0,116:09,724:24,65,47.91,12.4,0.0,0.0,0.0,16:37,-12.0,18.0,1196.0,11:54,10:03,00:13,01:36,,,,,,,,,,,,,,,,,,,,,,,
8481559,Jack Hughes,"Hughes, Jack",C,NJD,4.270508400972358,1.9543776690657853,1.0885788527130411,-1.050245715129136,1.964514058836576,0.6301260378126045,1.1677053978083214,-0.9535923715962907,-0.5309555285385431,26.0,30.0,0.0,14.0,2.0,165.0,6.0,15.0,958:44,49,6.0,141:02,814:10,0,34.56,15.8,2.0,0.0,0.0,03:32,-16.0,56.0,1088.0,19:33,16:36,00:04,02:52,,,,,,,,,,,,,,,,,,,,,,,
8481068,Yegor Sharangovich,"Sharangovich, Yegor",C,NJD,3.878566311869172,1.7273130436141586,0.5052255919290191,0.0049153465606668065,-0.10764460596364803,1.260252075625209,1.2123920736242206,-0.49521320585043427,-0.22867400767001944,24.0,22.0,23.0,3.0,3.0,168.0,30.0,26.0,1254:35,76,2.0,92:28,1084:07,23,40.45,14.3,0.0,2.0,2.0,78:00,-14.0,46.0,1667.0,16:30,14:15,01:01,01:13,,,,,,,,,,,,,,,,,,,,,,,
8482110,Dawson Mercer,"Mercer, Dawson",C,NJD,3.2409974143889024,0.9325868545334659,0.7239830647230273,0.23429818605845001,0.26911151490911994,0.6301260378126045,1.0038542531500239,-0.5716097334747436,0.018647236676954435,17.0,25.0,28.0,5.0,2.0,154.0,26.0,35.0,1356:23,82,2.0,154:32,1177:12,28,35.42,11.0,0.0,1.0,2.0,24:39,-25.0,42.0,1766.0,16:32,14:21,00:18,01:53,,,,,,,,,,,,,,,,,,,,,,,
8477435,Ryan Graves,"Graves, Ryan",D,NJD,2.7175851002441407,-0.31626858545047987,0.5052255919290191,0.05079191446022345,-0.6727787872728,-0.6301260378126045,0.3633452331221337,0.6507347085142069,2.766661062754442,6.0,22.0,24.0,0.0,0.0,111.0,90.0,135.0,1554:09,75,0.0,04:40,1366:25,24,0.0,5.4,0.0,0.0,0.0,183:04,-9.0,28.0,1859.0,20:43,18:13,02:26,00:03,,,,,,,,,,,,,,,,,,,,,,,
8475193,Tomas Tatar,"Tatar, Tomas",LW,NJD,1.7951499740030752,0.7055222290818394,-0.005208511257000178,-0.04096122133888984,0.26911151490911994,0.0,0.6761519638334289,0.3642477299230466,-0.1737137311484697,15.0,15.0,22.0,5.0,1.0,132.0,75.0,28.0,1127:15,76,2.0,141:43,985:05,22,38.0,11.4,0.0,0.0,0.0,00:27,-22.0,30.0,1613.0,14:49,12:57,00:00,01:51,,,,,,,,,,,,,,,,,,,,,,,
8478399,Jonas Siegenthaler,"Siegenthaler, Jonas",D,NJD,1.392282772610521,-0.8839301490795461,-0.15104682645300568,0.876570136652243,-0.6727787872728,-0.6301260378126045,0.08032961962143799,0.8035277637628258,1.9697370531919705,1.0,13.0,42.0,0.0,0.0,92.0,98.0,106.0,1439:05,70,0.0,01:53,1269:49,42,0.0,1.1,0.0,0.0,1.0,167:23,-5.0,14.0,1690.0,20:33,18:08,02:23,00:01,,,,,,,,,,,,,,,,,,,,,,,
8479415,Michael McLeod,"McLeod, Michael",C,NJD,1.2021805971688042,-0.31626858545047987,-0.07812766885500293,1.3353358156478095,-0.6727787872728,-0.6301260378126045,-0.1282082008527588,1.7011869633484613,-0.00883290158382044,6.0,14.0,52.0,0.0,0.0,78.0,145.0,34.0,1026:06,77,0.0,14:46,855:13,52,57.25,7.7,0.0,0.0,1.0,156:07,-13.0,20.0,1609.0,13:19,11:06,02:01,00:11,,,,,,,,,,,,,,,,,,,,,,,
8478507,John Marino,"Marino, John",D,NJD,0.6975829334132622,-0.8839301490795461,0.6510639071250246,0.0049153465606668065,-0.296022666400032,-0.6301260378126045,0.05053850241083845,0.3260494661108919,1.475094564498023,1.0,24.0,23.0,2.0,0.0,90.0,73.0,88.0,1671:35,81,0.0,75:32,1405:07,23,0.0,1.1,0.0,0.0,2.0,190:56,1.0,25.0,2089.0,20:38,17:20,02:21,00:55,,,,,,,,,,,,,,,,,,,,,,,
8477341,Andreas Johnsson,"Johnsson, Andreas",LW,NJD,0.41880237994888464,0.4784576036302129,0.5052255919290191,0.3260513218575633,-0.484400726836416,-0.6301260378126045,0.408031908938033,0.15415727895619574,-0.33859456071311894,13.0,22.0,30.0,1.0,0.0,114.0,64.0,22.0,1019:34,71,1.0,75:57,937:55,30,28.57,11.4,0.0,0.0,0.0,05:42,4.0,35.0,1401.0,14:21,13:12,00:04,01:04,,,,,,,,,,,,,,,,,,,,,,,
8474090,Brendan Smith,"Smith, Brendan",D,NJD,-1.2916646995955683,-0.5433332109021064,-0.8073192448350305,0.6013107292549031,-0.6727787872728,0.0,-0.35164157993225537,0.3260494661108919,0.1560479279808288,4.0,4.0,36.0,0.0,1.0,63.0,73.0,40.0,626:19,45,0.0,00:39,577:40,36,0.0,6.3,0.0,0.0,0.0,48:00,6.0,8.0,855.0,13:55,12:50,01:04,00:00,,,,,,,,,,,,,,,,,,,,,,,
8480003,Jesper Boqvist,"Boqvist, Jesper",C,NJD,-2.256446823466301,0.13786066545277315,-0.15104682645300568,-0.5914800361335696,-0.484400726836416,0.0,-0.1877904352739579,-0.4761140739443569,-0.5034753902777682,10.0,13.0,10.0,1.0,1.0,74.0,31.0,16.0,735:14,56,0.0,27:38,698:16,10,37.33,13.5,0.0,0.0,0.0,09:20,-9.0,23.0,1087.0,13:07,12:28,00:10,00:29,,,,,,,,,,,,,,,,,,,,,,,
8477419,Mason Geertsen,"Geertsen, Mason",D,NJD,-2.739662364888634,-0.9974624618053594,-1.0989958752270415,2.4822500131367256,-0.6727787872728,-0.6301260378126045,-1.1113150688025437,0.03956248751973162,-0.7507966346247421,0.0,0.0,77.0,0.0,0.0,12.0,58.0,7.0,173:55,25,0.0,00:06,173:41,77,0.0,0.0,0.0,0.0,0.0,00:08,-6.0,0.0,284.0,06:57,06:56,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,
8480860,Kevin Bahl,"Bahl, Kevin",D,NJD,-5.77465324531403,-0.8839301490795461,-0.8802384024330332,-0.5914800361335696,-0.6727787872728,-0.6301260378126045,-1.0517328343813446,-0.5334114696625889,-0.5309555285385431,1.0,3.0,10.0,0.0,0.0,16.0,28.0,15.0,267:40,17,0.0,01:12,249:19,10,0.0,6.3,0.0,0.0,0.0,17:09,-6.0,4.0,362.0,15:44,14:39,01:00,00:04,,,,,,,,,,,,,,,,,,,,,,,
8480188,Fabian Zetterlund,"Zetterlund, Fabian",LW,NJD,-6.011635500515097,-0.6568655236279196,-0.7344000872370277,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-0.7538216622753492,-0.7626010525355171,-0.7507966346247421,3.0,5.0,0.0,0.0,0.0,36.0,16.0,7.0,186:48,14,0.0,21:37,165:11,0,66.66,8.3,0.0,0.0,0.0,00:00,5.0,8.0,257.0,13:20,11:47,00:00,01:32,,,,,,,,,,,,,,,,,,,,,,,
8482125,Alexander Holtz,"Holtz, Alexander",RW,NJD,-6.9958432640489665,-0.9974624618053594,-0.9531575600310359,-0.9584925793300227,-0.484400726836416,-0.6301260378126045,-1.1113150688025437,-0.9726915035023681,-0.8881973259286164,0.0,2.0,2.0,1.0,0.0,12.0,5.0,2.0,110:26,9,0.0,20:06,90:18,2,0.0,0.0,0.0,0.0,0.0,00:02,-5.0,2.0,156.0,12:16,10:02,00:00,02:14,,,,,,,,,,,,,,,,,,,,,,,
8481518,Nolan Foote,"Foote, Nolan",LW,NJD,-7.008270539458169,-0.6568655236279196,-1.0260767176290386,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.1411061860131433,-0.915394107784136,-0.9156774641893913,3.0,1.0,0.0,0.0,0.0,10.0,8.0,1.0,72:34,7,0.0,03:48,68:34,0,0.0,30.0,0.0,0.0,0.0,00:12,3.0,4.0,100.0,10:22,09:47,00:01,00:32,,,,,,,,,,,,,,,,,,,,,,,
8481537,Nikita Okhotiuk,"Okhotiuk, Nikita",D,NJD,-7.065266766888563,-0.8839301490795461,-1.0260767176290386,-0.9584925793300227,-0.6727787872728,-0.6301260378126045,-1.215583979039642,-0.7626010525355171,-0.9156774641893913,1.0,1.0,2.0,0.0,0.0,5.0,16.0,1.0,75:26,5,0.0,00:10,74:04,2,0.0,20.0,0.0,0.0,0.0,01:12,-2.0,2.0,94.0,15:05,14:48,00:14,00:02,,,,,,,,,,,,,,,,,,,,,,,
8477425,Miles Wood,"Wood, Miles",LW,NJD,-7.414742228196015,-0.9974624618053594,-1.0989958752270415,-0.8667394435309095,-0.6727787872728,-0.6301260378126045,-1.2602706548555416,-0.9726915035023681,-0.9156774641893913,0.0,0.0,4.0,0.0,0.0,2.0,5.0,1.0,44:17,3,0.0,03:49,39:56,4,0.0,0.0,0.0,0.0,0.0,00:32,-2.0,0.0,59.0,14:45,13:18,00:10,01:16,,,,,,,,,,,,,,,,,,,,,,,
8480054,Reilly Walsh,"Walsh, Reilly",D,NJD,-7.593344863465851,-0.9974624618053594,-1.0260767176290386,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.2602706548555416,-1.0681871630327548,-0.8881973259286164,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,14:23,1,0.0,00:59,13:24,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,1.0,20.0,14:23,13:24,00:00,00:59,,,,,,,,,,,,,,,,,,,,,,,
8481740,Tyce Thompson,"Thompson, Tyce",RW,NJD,-7.66813047516795,-0.9974624618053594,-1.0989958752270415,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.2453750962502417,-1.0299888992206,-0.9431576024501662,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,28:50,2,0.0,00:15,27:15,0,100.0,0.0,0.0,0.0,0.0,01:20,0.0,0.0,41.0,14:25,13:37,00:40,00:07,,,,,,,,,,,,,,,,,,,,,,,
8480225,Jack Dugan,"Dugan, Jack",LW,NJD,-7.7510154147960035,-0.9974624618053594,-1.0989958752270415,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.290061772066141,-1.0681871630327548,-0.9431576024501662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0,0.0,00:00,00:00,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8477970,Vitek Vanecek,"Vanecek, Vitek",G,NJD,3.148898322693613,,,,,,,,,,,,,,,,,2317:23,42,,,,,,,,,,,,,,55:10,,,,1.5126229434376846,0.89302804327407,0.7432473359818585,20.0,2.6668,0.908,6.0,4.0,0.0,12.0,1014.0,128.0,37.0,849.0,40.0,929.0,148.0,39.0,1117.0,103.0,86.48648648648648,92.5,91.3885898815931
8482076,Nico Daws,"Daws, Nico",G,NJD,0.7876745248268581,,,,,,,,,,,,,,,,,1271:32,25,,,,,,,,,,,,,,50:51,,,,0.1857607123519964,0.3563767461237105,0.24553706635115116,10.0,3.1144,0.893,1.0,0.0,0.0,11.0,551.0,51.0,13.0,487.0,15.0,536.0,66.0,23.0,617.0,66.0,77.27272727272727,86.66666666666667,90.85820895522389
8473541,Jonathan Bernier,"Bernier, Jonathan",G,NJD,0.357564498310997,,,,,,,,,,,,,,,,,510:06,10,,,,,,,,,,,,,,51:00,,,,-0.6103566262994166,0.42375789648083795,0.5441632281295756,4.0,3.0582,0.902,1.0,0.0,0.0,4.0,238.0,36.0,10.0,192.0,11.0,209.0,44.0,8.0,264.0,26.0,81.81818181818183,90.9090909090909,91.86602870813397
8478406,Mackenzie Blackwood,"Blackwood, Mackenzie",G,NJD,0.2937741164052448,,,,,,,,,,,,,,,,,1399:03,25,,,,,,,,,,,,,,55:57,,,,0.05307448924342757,0.028343245452713217,0.212356381709104,9.0,3.388,0.892,4.0,2.0,0.0,10.0,652.0,63.0,13.0,576.0,17.0,643.0,71.0,24.0,731.0,79.0,88.73239436619718,76.47058823529412,89.5800933125972
8481033,Akira Schmid,"Schmid, Akira",G,NJD,-4.587911462236702,,,,,,,,,,,,,,,,,235:59,6,,,,,,,,,,,,,,39:19,,,,-1.1411015187336917,-1.7015059313313323,-1.7453040121716783,0.0,4.8308,0.833,0.0,0.0,0.0,4.0,95.0,4.0,3.0,88.0,5.0,104.0,5.0,4.0,114.0,19.0,80.0,60.0,84.61538461538461
